ID,R_min,R_max,R_mean,R_median,R_std,G_min,G_max,G_mean,G_median,G_std,B_min,B_max,B_mean,B_median,B_std,pixel_ratio,area,perimeter,circularity_laplacian,bounding_box_ratio,center_mass_x,center_mass_y,bug type,species
1,5,208,68.08574489687165,56.0,47.955398851745045,3,199,54.88274724719952,37.0,45.31119677847598,0,193,39.89196905869088,24.0,36.25074695745675,0.0074280416666666,178273,8998,0.027669636849153,1.2238805970149254,3035.244910895088,2222.120394002457,Bee,Apis mellifera
2,2,248,63.786497914961615,55.0,42.15350758236679,2,251,52.07965041505904,34.0,42.86612366914757,0,244,35.735146537277366,19.0,34.61711714803009,0.008553,205272,9494,0.028618121488618,1.5142857142857142,3032.674607350248,1698.0483602244826,Bee,Apis mellifera
3,3,255,107.17633313530791,114.0,58.77135873718156,0,255,87.79470989278339,86.0,60.05760424323768,0,255,63.38304336756344,52.0,54.82359568930816,0.022093125,530235,11818,0.0477078982345245,1.0606060606060606,2714.310952690788,1137.9484775618355,Bee,Apis mellifera
4,5,219,87.58824254258334,88.0,46.32258744701816,3,213,71.03185180270272,61.0,46.08575993578402,0,201,50.43253490554413,36.0,37.445620697219006,0.013187375,316497,12385,0.0259290998401772,1.3085106382978724,3486.890675109085,2223.2139514750534,Bee,Apis mellifera
5,6,255,123.1770030597724,134.0,62.355944159380286,0,250,100.8979636373556,91.0,63.029354606891445,0,245,80.94616982873458,63.0,60.62496157686189,0.009164625,219951,7870,0.0446258334369086,1.2,2867.2836449936576,2195.1991943660178,Bee,Apis mellifera
6,7,201,100.47562040505902,109.0,49.63504030114972,4,199,84.3832779358328,78.0,51.36793580317763,0,204,68.36625024647194,55.0,48.98237133305548,0.0059168333333333,142004,5565,0.0576209089094377,1.6071428571428572,2677.148312723585,1904.461346159263,Bee,Apis mellifera
7,11,238,91.57896325749208,87.0,41.37874968559628,9,234,72.75433325970106,70.0,36.76008197680118,4,223,50.997989838745305,42.0,34.73129526181651,0.00565875,135810,5916,0.0487624235675279,0.6585365853658537,3599.1718577424344,2233.678131212724,Bee,Apis mellifera
8,4,168,55.60429406701025,47.0,35.66732309580311,4,171,43.2401647866382,31.0,35.56519093882558,3,183,36.929926550324765,24.0,37.34231347870392,0.0074540833333333,178898,7187,0.0435231239111771,1.146067415730337,2059.957109637894,2031.9852765262888,Bee,Apis mellifera
9,6,255,87.62007338557522,93.0,52.73279931795231,3,255,71.39061613788154,64.0,51.894715129430246,0,254,68.25091731969026,57.0,54.63180011861349,0.0071994166666666,172786,7568,0.0379102080700221,1.0384615384615383,3141.3569907284154,1840.997488222425,Bee,Apis mellifera
10,4,255,82.97670029012441,80.0,52.421580903076965,0,255,63.63256362805997,48.0,48.94095558910766,0,255,60.44038193995296,45.0,50.82663964478578,0.0157834583333333,378803,8591,0.06449645368643,1.1341772151898737,2779.835275855788,2107.9782182295285,Bee,Apis mellifera
