Image_id,Label
im-01_seg,Ladybug
im-02_seg,Ladybug
im-03_seg,Ladybug
im-04_seg,Ladybug
im-05_seg,Ladybug
im-06_seg,Ladybug
im-07_seg,Ladybug
im-08_seg,Ladybug
im-09_seg,Ladybug
im-10_seg,Ladybug
im-11_seg,Ladybug
im-12_seg,Ladybug
im-13_seg,Ladybug
im-14_seg,Ladybug
im-15_seg,Ladybug
im-16_seg,Firebug
im-17_seg,Firebug
im-18_seg,Firebug
im-19_seg,Firebug
im-20_seg,Firebug
im-21_seg,Firebug
im-22_seg,Firebug
im-23_seg,Firebug
im-24_seg,Firebug
im-25_seg,Firebug
im-26_seg,Firebug
im-27_seg,Firebug
im-28_seg,Firebug
im-29_seg,Firebug
im-30_seg,Firebug
